ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Faculteit,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10069429,F,10,3047,B Aardwetenschappen,FNWI,1-9-2010,0,AC,MATR,21-6-2010,31-5-2014,0,DC,VDIS,22-7-2014,200,304715,B,31-7-2014,Z,31-7-2014,30-5-2014
10146334,M,10,3047,B Aardwetenschappen,FNWI,1-9-2011,0,AC,MATR,16-6-2011,31-1-2015,0,DC,VDIS,2-3-2015,200,304715,B,2-3-2015,Z,2-3-2015,30-1-2015
10221522,M,10,3047,B Aardwetenschappen,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-8-2015,0,SP,SPND,13-11-2015,410,304715,B,5-8-2015,Z,5-8-2015,26-5-2015
10246673,F,10,3047,B Aardwetenschappen,FNWI,1-9-2011,0,AC,MATR,21-6-2011,31-8-2015,0,SP,SPND,20-1-2016,410,304715,B,23-3-2015,Z,23-3-2015,30-1-2015
5756510,M,10,3047,B Aardwetenschappen,FNWI,1-9-2010,1,AC,MATR,21-6-2010,31-8-2014,1,SP,SPND,28-10-2014,410,304715,B,26-8-2014,Z,26-8-2014,14-7-2014
5947332,M,10,3047,B Aardwetenschappen,FNWI,1-11-2009,2,AC,ACTV,5-4-2010,31-8-2012,2,SP,SPND,3-3-2013,410,304715,B,21-9-2012,Z,21-9-2012,31-8-2012
6068855,F,10,3047,B Aardwetenschappen,FNWI,1-9-2009,0,AC,ACTV,5-4-2010,31-8-2013,1,SP,SPND,10-1-2014,410,304715,B,7-2-2014,Z,7-2-2014,31-7-2013
10003897,F,10,3005,B Actuariële Wetenschappen,FEB,1-9-2010,0,AC,MATR,8-6-2010,31-8-2013,1,SP,SPND,3-9-2013,410,,,,,,
10246827,F,10,3005,B Actuariële Wetenschappen,FEB,1-9-2014,2,AC,MATR,22-6-2014,31-8-2015,2,SP,SPND,20-1-2016,410,300515,B,20-7-2015,Z,20-7-2015,30-6-2015
10618058,M,10,3005,B Actuariële Wetenschappen,FEB,1-9-2016,1,AC,MATR,28-6-2016,1-9-2016,1,AC,MATR,28-6-2016,120,,,,,,
