ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Faculteit,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10069429,F,10,3047,B Aardwetenschappen,FNWI,1-9-2010,0,AC,MATR,21-6-2010,31-5-2014,0,DC,VDIS,22-7-2014,200,304715,B,31-7-2014,Z,31-7-2014,30-5-2014
10146334,M,10,3047,B Aardwetenschappen,FNWI,1-9-2011,0,AC,MATR,16-6-2011,31-1-2015,0,DC,VDIS,2-3-2015,200,304715,B,2-3-2015,Z,2-3-2015,30-1-2015
10221522,M,10,3047,B Aardwetenschappen,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-8-2015,0,SP,SPND,13-11-2015,410,304715,B,5-8-2015,Z,5-8-2015,26-5-2015
10246673,F,10,3047,B Aardwetenschappen,FNWI,1-9-2011,0,AC,MATR,21-6-2011,31-8-2015,0,SP,SPND,20-1-2016,410,304715,B,23-3-2015,Z,23-3-2015,30-1-2015
10799354,M,10,3079,B Scheikunde (jd),FNWI,1-9-2016,2,AC,MATR,18-5-2016,1-9-2016,2,AC,MATR,18-5-2016,120,,,,,,
10800077,M,10,3079,B Scheikunde (jd),FNWI,1-9-2016,1,AC,MATR,12-5-2016,1-9-2016,1,AC,MATR,12-5-2016,120,,,,,,
10800646,M,10,3079,B Scheikunde (jd),FNWI,1-9-2016,2,AC,MATR,2-5-2016,1-9-2016,2,AC,MATR,2-5-2016,120,,,,,,
10891277,M,10,3079,B Scheikunde (jd),FNWI,1-9-2016,1,AC,MATR,20-6-2016,1-9-2016,1,AC,MATR,20-6-2016,VUIN,,,,,,
10002850,F,10,3069,B Soc. Geografie en Planologie,FMG,1-9-2010,1,AC,MATR,19-9-2010,31-8-2012,1,SP,SPND,28-9-2012,410,,,,,,
10323929,M,10,3069,B Soc. Geografie en Planologie,FMG,1-9-2013,1,AC,MATR,6-5-2013,1-9-2013,1,AC,MATR,6-5-2013,120,,,,,,
