ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10000047,F,15,4121,M Artificial Intelligence,1-9-2013,0,AC,MATR,11-6-2013,30-11-2016,0,DC,VDIS,7-12-2016,200,412125,M,12-12-2016,Z,12-12-2016,1-11-2016
10000129,F,15,4120,M Information Studies,1-9-2014,0,AC,MATR,17-6-2014,30-4-2016,0,DC,VDIS,29-4-2016,200,412025,M,2-5-2016,Z,2-5-2016,26-4-2016
10000562,M,15,4119,M Software Engineering,1-9-2016,1,AC,MATR,25-5-2016,1-9-2016,1,AC,MATR,25-5-2016,120,,,,,,
10001205,M,15,4120,M Information Studies,1-9-2014,0,AC,MATR,29-8-2014,1-9-2014,0,AC,MATR,29-8-2014,120,,,,,,
10001326,F,15,4120,M Information Studies,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10001326,F,15,4121,M Artificial Intelligence,1-9-2017,1,AC,MATR,15-11-2016,1-9-2017,1,AC,MATR,15-11-2016,120,,,,,,
10001567,F,15,4121,M Artificial Intelligence,1-9-2015,1,AC,MATR,20-8-2015,1-9-2015,1,AC,MATR,20-8-2015,VUIN,,,,,,
10001567,F,15,4132,M Computational Science,1-9-2015,2,AC,MATR,25-8-2015,1-9-2015,2,AC,MATR,25-8-2015,VUIN,,,,,,
10001851,M,15,4120,M Information Studies,1-9-2014,0,AC,MATR,12-5-2014,1-9-2015,1,AC,MATR,6-5-2015,120,,,,,,
10002145,M,15,4120,M Information Studies,1-9-2014,0,AC,MATR,5-8-2014,31-8-2015,0,SP,SPND,20-1-2016,410,412025,M,24-7-2015,Z,24-7-2015,15-7-2015
10002844,F,15,4132,M Computational Science,1-9-2014,0,AC,MATR,6-5-2014,1-9-2014,0,AC,MATR,6-5-2014,120,,,,,,
10002918,M,15,4120,M Information Studies,1-9-2014,0,AC,MATR,30-7-2014,31-8-2015,0,SP,SPND,20-1-2016,410,412025,M,11-9-2015,Z,11-9-2015,26-8-2015
